Id,Label,gender,birth_year,death_year,mother_id,father_id,pod_id
J53,Kiki,female,2015,,J17,L41,J
J56,Tofino,female,2019,,J31,,J
J57,Phoenix,male,2020,,J35,,J
J58,Crescent,female,2020,,J41,,J
J59,Sxwyeqόlh,female,2022,,J37,,J
K12,Sequim,female,1972,,K4,,K
K14,Lea,female,1977,,K3,J1,K
K16,Opus,female,1985,,K3,,K
K20,Spock,female,1986,,K13,,K
K22,Sekiu,female,1987,,K12,,K
K26,Lobo,male,1993,,K14,,K
K27,Deadhead,female,1994,,K13,J1,K
K33,Tika,male,2001,,K22,L41,K
K34,Cali,male,2001,,K13,,K
K35,Sonata,male,2002,,K16,L41,K
K36,Yoda,female,2003,,K14,L41,K
K37,Rainshadow,male,2004,,K12,J1,K
K38,Comet,male,2004,,K20,L57,K
K42,Kelp,male,2008,,K14,L41,K
K43,Saturna,female,2010,,K12,J1,K
K45,Prosper,female,2022,,K20,,K
L103,Lapis,female,2003,,L55,J1,L
L105,Fluke,male,2004,,L72,L57,L
L106,Pooka,male,2005,,L86,L41,L
L108,Coho,male,2006,,L54,J1,L
L109,Takoda,male,2007,,L55,J1,L
L110,Midnight,male,2007,,L83,,L
L113,Cousteau,female,2009,,L94,,L
L115,Mystic,male,2010,,L47,,L
L116,Finn,male,2010,,L82,L41,L
L117,Keta,male,2010,,L54,L41,L
L118,Jade,female,2011,,L55,J26,L
L119,Joy,female,2012,,L77,L78,L
L121,Windsong,male,2015,,L94,,L
L122,Magic,male,2015,,L91,,L
L123,Lazuli,male,2015,,L103,,L
L124,Whistle,female,2019,,L77,,L
L125,Element,female,2021,,L86,,L
L126,Ken,male,2023,,L119,,L
L127,Scuba,female,2023,,L94,,L
L22,Spirit,female,1971,,L32,,L
L25,Ocean Sun,female,1928,,,,L
L54,Ino,female,1977,,L35,,L
L55,Nugget,female,1977,,L4,,L
L72,Racer,female,1986,,L43,,L
L77,Matia,female,1987,,L11,,L
L82,Kasatka,female,1990,,L55,,L
L83,Moonlight,female,1990,,L47,,L
L85,Mystery,male,1991,,L28,,L
L86,Surprise!,female,1991,,L4,,L
L87,Onyx,male,1992,,L32,,L
L88,Wavewalker,male,1993,,L2,,L
L90,Ballena,female,1993,,L26,,L
